Name,Source,Tier,Prerequisites,Aptitude 1,Aptitude 2,Benefit,Book and page #
Plasma Weapon Mastery,Only War,3,"BS 50, Plasma Weapon Expertise",Ballistic Skill,Tech,Increase Damage and Penetration when firing Plasma weapons on Maximal setting,
Plunging Fire,Trisdekan Primer,3,"Int 40, BS 40",Intelligence,Perception,Frighten enemies with long-range fire,V2 pg 73
Precision Shot,Trisdekan Primer,3,Precision Killer,Ballistic Skill,Perception,Spend Fate to gain Vengeful (6) for 1 shot that can not be rerolled if it misses,V2 pg 73
Preternatural Speed,Dark Heresy,3,"WS 40, Ag 50",Agility,Offence,Double speed when charging,
Push the Limit,Dark Heresy,3,"Rank 2 in Survival or any Operate skill, Tech-Use",Perception,Tech,"Once per round, the character may add +20 to an Operate test if it fails bad things happen",2e EWo pg 64
Ranged Weapon Expert,Only War,3,"BS 50, Weapon Training (Chosen Group)",Ballistic Skill,Finesse,"Once per combat, Aim as a Free Action and roll twice for Damage with a chosen ranged weapon type.",
Rapid Toss,Trisdekan Primer,3,Biggest Booms,Agility,,Spend Fate to throw a Thrown weapon as a free action,V2 pg 73
Relic Bearer,Only War,3,"Logistics Rating 40+, Scholastic Lore (Imperial Creed) +20",Fellowship,Social,Character is entrusted with a sacred relic.,
Righteous Blow,Only War,3,BS 45 or WS 45 or WP 45,Offence,Willpower,Roll twice for Righteous Fury and choose result,
Sacred Flame,Only War,3,"WP 40, Cleanse and Purify",Offence,Willpower,Inflict Righteous Fury on a 9 or 10 with Flame Weapons.,
Sanctic Purity,Dark Heresy,3,"Daemonologist, Favoured by the Warp, Willpower 50",Psyker,Willpower,Spend a fate to negate psychic phenomena when using Sanctic Daemonology,2e EB pg 62
Sentinel,Trisdekan Primer,3,"Cool Under Pressure, BS 40",Defence,Finesse,Gain extra Overwatch hits,V2 pg 74
Shield Wall,Dark Heresy,3,"Ambidextrous, Weapon Skill 40",Defence,Weapon Skill,When using a shield reroll 1 parry per turn,2e EB pg 62
Solid Projectile Weapon Mastery,Only War,3,"BS 45, Solid Projectile Weapon Expertise",Ballistic Skill,Finesse,Solid Projectile Weapons gain Proven (X) Quality equal to half of Ballistic Skill Bonus.,
Sprint,Dark Heresy,3,-,Agility,Fieldcraft,Move more quickly in combat,
Step Aside,Dark Heresy,3,"Agility 40, Dodge or Parry",Agility,Defence,Can make additional Dodge or Parry attempt.,
Stirring Rhetoric,Only War,3,"Fel 45, Heroic Inspiration",Fellowship,Social,"Once per session, spend a Fate Point to improve the Inspire Special Use of the Command Skill.",
Suffer not the Work of Heretics,Only War,3,"Hatred (any one), Ministorum Priest or 20+ Insanity Points",Willpower,Offence,Gain benefits to Penetration against targets of your Hatred.,SoH pg 108
Superior Chirurgeon,Dark Heresy,3,Rank 2 in Medicae skill,Intelligence,Fieldcraft,"Gain +20 to Medicae tests, bonuses to first aid tests.",
Target Selection,Dark Heresy,3,BS 50,Ballistic Skill,Finesse,May shoot into melee without penalty,
The Flesh is Weak,Only War,3,"Two or more Cybernetics, Tech-Use +10",Tech,Toughness,Gain Machine Trait equal to half the number of Cybernetic implants,
Thunder Charge,Dark Heresy,3,S 50,Strength,Offence,Break enemies with armoured charge.,
Thunderous Castigation,Only War,3,"Command +20, Scholastic Lore (Imperial Creed) +20",Fellowship,Leadership,Strike fear into enemies with fiery rhetoric.,SoH pg 109
Trademark Item,Only War,3,"Fel 40, Command +10",Fellowship,Social,Item grants bonus to Interaction Tests and allows extra Sweeping Order.,
Trench Defender,Trisdekan Primer,3,"Trench Dweller, Trench Veteran",Fieldcraft,Defence,Improve accuracy and slow enemies in prepared positions,V2 pg 76
True Grit,Dark Heresy,3,T 40,Toughess,Defence,Reduce Critical damage taken.,
Two-Weapon Master,Dark Heresy,3,"Ag 45, Ambidextrous, BS 40 or WS 40, Two-Weapon Wielder (Melee, Ranged)",Finesse,Offence,No penalties when fighting with two singlehanded weapons.,
Unconventional Leadership,Trisdekan Primer,3,"Air of Authority, Str 50 or WP 50 or Int 50",Leadership,General,Command using alternative characteristics,V2 pg 68
Underfoot Assault,Only War,3,"Ag 40, WS 40",Weapon Skill,Finesse,Gain benefits in melee against larger foes,
Versatile Shooter,Only War,3,"Precision Killer, Target Selection",Ballistic Skill,Finesse,"Gain the full benefit of the Accurate Quality on Pistol, Heavy, and Vehicle Weapons.",
Veteran Comrade,Only War,3,Character Speciality with at least one Comrade,General,Leadership,One Comrade grants extra bonuses and can participate in Veteran Orders.,
Warp Lock,Dark Heresy,3,"Psy Rating, Strong Minded, WP 50",Willpower,Psyker,Ignore Psychic Phenomenon once per session.,
Weapon Intuition,Dark Heresy,3,Exotic Weapon Training (Any),Intelligence,Finesse,The character reduces the penalty for using a weapon without the proper training by 10.,2e EWo pg 64
